Directory Name,URL,DA,Submission Status,Notes,Submission Priority,Contact Email,Required Materials
"HLTV.org","https://www.hltv.org",83,"In Progress","CS:GO focused but has general directory. High DA makes this top priority.",1,"listings@hltv.org","Logo, photos, event schedule, social media links"
"ESL Gaming","https://www.eslgaming.com",82,"In Progress","Leading tournament platform directory. Focus on tournament hosting capabilities.",1,"venues@eslgaming.com","Facility specs, equipment list, internet speed test"
"FACEIT","https://www.faceit.com",80,"In Progress","Popular tournament platform. Emphasize local tournament hosting.",2,"partners@faceit.com","Venue photos, equipment specs, past events"
"GameBattles","https://gamebattles.majorleaguegaming.com",79,"In Progress","MLG's competitive gaming platform. Focus on tournament capabilities.",2,"venues@mlg.tv","Equipment list, internet specs, facility photos"
"SmashGG","https://smash.gg",78,"In Progress","Fighting game community platform. Highlight FGC events.",2,"venues@smash.gg","Venue details, parking info, equipment list"
"GosuGamers","https://www.gosugamers.net",77,"Queued","Comprehensive esports directory. General listing.",3,"listings@gosugamers.net","Basic business info, photos, events"
"ESPORTS.net","https://www.esports.net",76,"Queued","Major esports news and directory site.",3,"directory@esports.net","Business profile, photos, events calendar"
"The Esports Observer","https://esportsobserver.com",75,"Queued","Business directory and news. Focus on business impact.",3,"listings@esportsobserver.com","Business metrics, growth plans, photos"
"Battlefy","https://battlefy.com",72,"Queued","Tournament platform directory. Tournament hosting focus.",4,"venues@battlefy.com","Facility specs, past tournaments, photos"
"Esports Insider","https://esportsinsider.com",71,"Queued","Industry news and business directory. Business focus.",4,"directory@esportsinsider.com","Business profile, market impact data"
